Individual_SRR,Individual_ID,Time_point,Parasites_ul_Log,Parasites_ul_actual_b_o_a,Parasites_ul_actual_o,Parasites_ul_actual_b_o,Parasites_ul_actual_2b_b_o,Percent_Parasitemia_gene,Macaca_Reads_Mapped_gene,Macaca_ratio_gene,Plasmodium_Reads_Mapped_gene,Plasmodium_ratio_gene,Total_Reads_gene,Percent_Parasitemia_exon,Macaca_Reads_Mapped_exon,Macaca_ratio_exon,Plasmodium_Reads_Mapped_exon,Plasmodium_ratio_exon,Total_Reads_exon
SRR5990522,RCs13,1,0,0,0,0,0,0.000312981,20669014,0.999687117,6469,0.000312883,20675483,0.000324441,18342301,0.999675664,5951,0.000324336,18348252
SRR5990523,RTi13,1,0,0,0,0,0,0.000175311,18298876,0.999824719,3208,0.000175281,18302084,0.000177587,16324384,0.999822444,2899,0.000177556,16327283
SRR5990524,RUn13,1,0,0,0,0,0,0.000191829,42621378,0.999808208,8176,0.000191792,42629554,0.000193521,37985579,0.999806517,7351,0.000193483,37992930
SRR5990525,RWr13,1,0,0,0,0,0,0.000191643,35733096,0.999808394,6848,0.000191606,35739944,0.000193393,32090160,0.999806645,6206,0.000193355,32096366
SRR5990526,RZe13,1,0,0,0,0,0,0.000194581,40003824,0.999805456,7784,0.000194544,40011608,0.000201611,35102204,0.999798429,7077,0.000201571,35109281
SRR5990527,RCs13,2,0,0,0,0,0,0.000171384,51416733,0.999828645,8812,0.000171355,51425545,0.00017103,46781366,0.999829,8001,0.000171,46789367
SRR5990528,RTi13,2,5.2,194843,213518,213152,144748,0.454417493,26618709,0.687560487,12096007,0.312439513,38714716,0.499435981,23747434,0.666917436,11860323,0.333082564,35607757
SRR5990529,RUn13,2,5.6,96943,287104,143959,125435,1.184948972,16178138,0.457676592,19170268,0.542323408,35348406,1.325495834,14147029,0.430015821,18751828,0.569984179,32898857
SRR5990530,RWr13,2,5.1,81861,166605,117138,112484,0.688036407,39227414,0.592404284,26989889,0.407595716,66217303,0.75932658,34789683,0.568399302,26416731,0.431600698,61206414
SRR5990531,RZe13,2,3.1,102992,1399,110314,73605,0.050888298,32827370,0.951575921,1670529,0.048424079,34497899,0.055033635,29934730,0.94783708,1647417,0.05216292,31582147
SRR5990532,RCs13,3,0,0,0,0,0,0.000536432,36533994,0.999463856,19598,0.000536144,36553592,0.000558683,33727548,0.999441629,18843,0.000558371,33746391
SRR5990533,RTi13,3,3.5,1046,3106,1553,1972,0.013369246,48618896,0.986807132,649998,0.013192868,49268894,0.013480934,47138722,0.986698384,635474,0.013301616,47774196
SRR5990534,RUn13,3,3.1,574,1545,836,1032,0.00910496,36388407,0.990977192,331315,0.009022808,36719722,0.009514929,33530570,0.990574751,319041,0.009425249,33849611
SRR5990535,RWr13,3,3.9,2557,7476,3804,5046,0.02988151,38629407,0.970985488,1154305,0.029014512,39783712,0.030191053,37234342,0.970693734,1124144,0.029306266,38358486
SRR5990536,RZe13,3,3.5,3736,4591,4859,24445,0.02272375,20281688,0.977781146,460876,0.022218854,20742564,0.025133513,17857830,0.975482693,448830,0.024517307,18306660
SRR5990537,RCs13,4,0,0,0,0,0,0.000201793,80736113,0.999798247,16292,0.000201753,80752405,0.000197791,75084213,0.999802248,14851,0.000197752,75099064
