"Gene ID","source_id","Organism","Genomic Location (Gene)","Product Description","Input Ortholog(s)","Paralog count","Ortholog count","Ortholog Group"
"PCYB_001040","PCYB_001040-t26_1","Plasmodium cynomolgi strain B","DF157107:15,583..16,266(+)","CYIR protein","PCOAH_00005060,PCOAH_00007530,PCOAH_00007540,PCOAH_00009840,PCOAH_00009860,PCOAH_00009890,PCOAH_00009910,PCOAH_00009930,PCOAH_00012820,PCOAH_00012850,PCOAH_00013010,PCOAH_00019120,PCOAH_00019160,PCOAH_00028390,PCOAH_00036430,PCOAH_00037180,PCOAH_00039470,PCOAH_00040410,PCOAH_00040480,PCOAH_00047650,PCOAH_00047760,PCOAH_00047960,PCOAH_00047980,PCOAH_00051250,PCOAH_00051350","2","69","OG6r11_100087"
"PCYB_001050","PCYB_001050-t26_1","Plasmodium cynomolgi strain B","DF157107:20,517..21,475(+)","tryptophan-rich antigen","PCOAH_00003910,PCOAH_00003950,PCOAH_00006380,PCOAH_00006400,PCOAH_00009820,PCOAH_00009960,PCOAH_00010000,PCOAH_00012690,PCOAH_00019020,PCOAH_00031860,PCOAH_00039110,PCOAH_00051400","28","465","OG6_145873"
"PCYB_001060","PCYB_001060-t26_1","Plasmodium cynomolgi strain B","DF157108:276..1,053(+)","tryptophan-rich antigen","PCOAH_00003910,PCOAH_00003950,PCOAH_00006380,PCOAH_00006400,PCOAH_00009820,PCOAH_00009960,PCOAH_00010000,PCOAH_00012690,PCOAH_00019020,PCOAH_00031860,PCOAH_00039110,PCOAH_00051400","28","465","OG6_145873"
"PCYB_001070","PCYB_001070-t26_1","Plasmodium cynomolgi strain B","DF157108:4,781..5,750(-)","hypothetical protein","PCOAH_00006370,PCOAH_00040540","0","42","OG6_532695"
"PCYB_001110","PCYB_001110-t26_1","Plasmodium cynomolgi strain B","DF157109:9,990..10,696(-)","heat shock protein","PCOAH_00027070","1","55","OG6_101281"
"PCYB_001130","PCYB_001130-t26_1","Plasmodium cynomolgi strain B","DF157109:18,309..19,527(-)","hypothetical protein","PCOAH_00037310,PCOAH_00048140","1","19","OG6r11_101359"
"PCYB_001170","PCYB_001170-t26_1","Plasmodium cynomolgi strain B","DF157111:3,805..4,741(+)","40kDa heat shock protein","PCOAH_00002360,PCOAH_00009190,PCOAH_00047590","1","172","OG6_100302"
"PCYB_001180","PCYB_001180-t26_1","Plasmodium cynomolgi strain B","DF157111:7,285..7,974(-)","Pv-fam-d protein","PCOAH_00037310,PCOAH_00048140","1","19","OG6r11_101359"
"PCYB_001200","PCYB_001200-t26_1","Plasmodium cynomolgi strain B","DF157111:16,255..16,860(+)","PST-A protein","PCOAH_00000970,PCOAH_00002190,PCOAH_00002330,PCOAH_00003960,PCOAH_00004040,PCOAH_00006410,PCOAH_00009950,PCOAH_00012700,PCOAH_00015440,PCOAH_00019430,PCOAH_00031660,PCOAH_00037360,PCOAH_00055320","7","608","OG6_100231"
"PCYB_001230","PCYB_001230-t26_1","Plasmodium cynomolgi strain B","DF157112:19,039..19,749(-)","hypothetical protein","PCOAH_00035420","3","111","OG6_110153"
