Gene ID,source_id,Organism,Genomic Location (Gene),Product Description,Input Ortholog(s),Paralog count,Ortholog count,Ortholog Group
PCOAH_00000070,PCOAH_00000070-t30_1,Plasmodium coatneyi Hackeri,"CP016239:33,952..35,999(-)",Ubiquitin carboxyl-terminal hydrolase,PCYB_002730,0,2,OG6r11_137713
PCOAH_00000090,PCOAH_00000090-t30_1,Plasmodium coatneyi Hackeri,"CP016239:43,936..44,833(-)",KIR-like protein,"PCYB_062260,PCYB_062270",3,6,OG6r11_106672
PCOAH_00000120,PCOAH_00000120-t30_1,Plasmodium coatneyi Hackeri,"CP016239:55,364..56,765(+)",Uncharacterized protein,PCYB_052980,5,6,OG6r11_104746
PCOAH_00000140,PCOAH_00000140-t30_1,Plasmodium coatneyi Hackeri,"CP016239:70,544..70,888(+)",Uncharacterized protein,PCYB_001340,0,36,OG6_533511
PCOAH_00000150,PCOAH_00000150-t30_1,Plasmodium coatneyi Hackeri,"CP016239:74,180..74,678(-)",Uncharacterized protein,PCYB_001350,0,23,OG6r11_100958
PCOAH_00000160,PCOAH_00000160-t30_1,Plasmodium coatneyi Hackeri,"CP016239:83,599..85,764(+)",Chitinase,PCYB_011010,0,59,OG6_124694
PCOAH_00000190,PCOAH_00000190-t30_1,Plasmodium coatneyi Hackeri,"CP016239:89,012..89,889(-)",Uncharacterized protein,PCYB_011030,0,51,OG6_127054
PCOAH_00000200,PCOAH_00000200-t30_1,Plasmodium coatneyi Hackeri,"CP016239:91,489..96,780(+)",Uncharacterized protein,PCYB_011040,0,40,OG6_533740
PCOAH_00000210,PCOAH_00000210-t30_1,Plasmodium coatneyi Hackeri,"CP016239:97,512..98,048(+)",Uncharacterized protein,PCYB_011050,0,54,OG6_102398
PCOAH_00000220,PCOAH_00000220-t30_1,Plasmodium coatneyi Hackeri,"CP016239:99,033..102,866(-)",Uncharacterized protein,PCYB_011060,0,52,OG6_184637
PCOAH_00000230,PCOAH_00000230-t30_1,Plasmodium coatneyi Hackeri,"CP016239:104,531..104,965(+)",Uncharacterized protein,PCYB_011070,0,54,OG6_532378
PCOAH_00000240,PCOAH_00000240-t30_1,Plasmodium coatneyi Hackeri,"CP016239:106,045..108,155(-)",Uncharacterized protein,PCYB_011080,0,53,OG6_533132
